Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total_Conexiones,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Accesos por cada 100 hogares
2020,4,Mendoza,214838,615,215453,28000000,40000000,146312,11172000,40396000,3378000,11557,2570000,38.63
2020,4,Misiones,147161,0,147161,51000000,524000000,39988,26078000,26445000,14810000,32264,7001000,42.64
2020,4,Neuquén,132762,373,133135,116000000,327000000,56434,8478000,5791000,5493000,50776,5720000,67.0
2020,4,Río Negro,140709,501,141210,125000000,466000000,70305,4153000,13131000,3512000,29372,20146000,61.09
2020,4,Salta,187388,2,187390,109000000,514000000,41443,68829000,15188000,8291000,46697,6319000,54.04
2020,4,San Juan,72340,256,72596,25000000,194000000,61316,740000000,5126000,332000000,275,4588000,36.32
2020,4,San Luis,119287,148,119435,58000000,0,14020,3490000,2688000,62239000,22,36918000,81.68
2020,4,Santa Cruz,40477,197,40674,47000000,0,27173,4382000,6634000,1033000,647,758000000,37.0
2020,4,Santa Fe,820676,137,820813,518000000,891000000,206372,203793000,94246000,65144999,226246,23602000,73.58
2020,4,Santiago Del Estero,106668,1,106669,123000000,909000000,34518,57590000,4666000,411000000,4520,3932000,43.75
2020,4,Tierra Del Fuego,39325,289,39614,17000000,0,21881,6119000,3497000,488000000,922,6690000,76.27
2020,4,Tucumán,231067,22,231089,29000000,97000000,44095,54334000,32155000,4105000,93594,2680000,54.78
2020,3,Buenos Aires,3932211,5066,3937277,37542000,31514000,1113823,234710000,219772000,194248000,2085815,19853000,67.66
2020,3,Capital Federal,1371285,1390,1372675,264000000,312000000,162222,85083000,68753000,78028000,977766,247000000,107.68
2020,3,Catamarca,49903,1,49904,63000000,0,8276,8768000,11195000,562000000,18886,2154000,47.16
2020,3,Chaco,133951,3,133954,308000000,112000000,24675,21639000,27546000,13751000,38729,7194000,41.54
2020,3,Chubut,129202,825,130027,158000000,109000000,87559,22114000,12217000,2818000,1110,3942000,68.34
2020,3,Córdoba,867417,55,867472,168000000,3064000,218599,124833000,84236000,63823000,361021,11728000,75.22
2020,3,Corrientes,123388,3,123391,72000000,527000000,35190,23315000,25308000,8615000,25344,5020000,41.75
2020,3,Entre Ríos,241482,13,241495,130000000,2911000,66648,51478000,40797000,14377000,49395,15759000,58.19
2020,3,Formosa,49209,0,49209,391000000,151000000,23163,7432000,7125000,991000000,8219,1737000,31.91
2020,3,Jujuy,106728,0,106728,55000000,182000000,32131,10566000,45198000,293000000,15238,3065000,54.04
2020,3,La Pampa,93619,116,93735,293000000,810000000,66695,7820000,5577000,2189000,6322,4029000,79.26
2020,3,La Rioja,52613,3,52616,21000000,1000000,37105,5955000,4660000,124000000,4748,2000000,50.12
2020,3,Mendoza,207173,615,207788,58000000,40000000,141404,12123000,42433000,3448000,8237,45000000,37.35
2020,3,Misiones,143186,0,143186,71000000,524000000,39005,24215000,25942000,13663000,30987,8779000,41.6
2020,3,Neuquén,128862,373,129235,218000000,327000000,60463,6561000,5975000,5449000,49439,803000000,65.24
2020,3,Río Negro,130966,501,131467,114000000,466000000,68986,3769000,7096000,3455000,28488,19093000,57.05
2020,3,Salta,180844,2,180846,129000000,514000000,32780,64736000,15990000,7928000,43773,14996000,52.32
2020,3,San Juan,77071,256,77327,48000000,194000000,65526,711000000,6529000,41000000,128,4150000,38.79
2020,3,San Luis,116417,148,116565,105000000,0,12199,3351000,2666000,61319000,8,36917000,79.96
2020,3,Santa Cruz,39084,197,39281,66000000,0,26888,4014999,6730000,629000000,120,833000000,35.95
2020,3,Santa Fe,802861,137,802998,568000000,1241000,213353,199381000,92095000,58797000,210562,27001000,72.12
2020,3,Santiago Del Estero,105491,1,105492,133000000,909000000,33287,57418000,4658000,292000000,3994,4801000,43.38
2020,3,Tierra Del Fuego,39366,289,39655,11000000,0,22094,5414000,3726000,481000000,937,6992000,76.81
2020,3,Tucumán,223854,22,223876,52000000,97000000,45913,54610000,33126000,3246000,84195,2637000,53.23
2020,2,Buenos Aires,3772480,5066,3777546,37542000,31606000,1129236,241336000,233132000,188995000,1894466,21233000,65.22
2020,2,Capital Federal,1356431,1390,1357821,264000000,312000000,166474,94585000,79858000,80160000,935481,687000000,106.41
2020,2,Catamarca,47975,1,47976,63000000,0,8801,8690000,10242000,426000000,16578,3176000,45.43
2020,2,Chaco,128129,3,128132,308000000,928000000,24350,21140000,29044000,12082000,33311,6969000,39.83
2020,2,Chubut,107831,825,108656,158000000,109000000,69578,22188000,10537000,1473000,614,3999000,57.34
2020,2,Córdoba,836413,55,836468,168000000,4383000,219025,125932000,89530000,63216000,325243,8971000,72.71
2020,2,Corrientes,118863,3,118866,72000000,527000000,34242,22845000,25844000,7898000,22418,5020000,40.3
2020,2,Entre Ríos,234100,13,234113,130000000,3679000,66758,50640000,42090000,12856000,43391,14569000,56.54
2020,2,Formosa,47932,0,47932,391000000,151000000,23534,7109000,6998000,961000000,7475,1313000,31.14
2020,2,Jujuy,94316,0,94316,55000000,182000000,30548,10519000,26829000,209000000,9417,16557000,47.89
2020,2,La Pampa,89693,116,89809,293000000,810000000,71218,7531000,3800000,1657000,3377,1123000,76.1
2020,2,La Rioja,52152,3,52155,21000000,1000000,37375,5661000,4686000,73000000,4336,2000000,49.84
2020,2,Mendoza,200569,615,201184,58000000,40000000,142253,12439000,35274000,3248000,5422,2450000,36.25
2020,2,Misiones,140340,0,140340,71000000,524000000,39867,23719000,26445000,12305000,28763,8646000,40.89
2020,2,Neuquén,125799,373,126172,218000000,327000000,61171,6103000,6625000,5296000,46432,0,63.9
2020,2,Río Negro,128985,501,129486,114000000,466000000,70817,3335000,7498000,3246000,26953,17057000,56.37
2020,2,Salta,177760,2,177762,129000000,514000000,41801,64462999,16989000,7741000,39594,6531000,51.58
2020,2,San Juan,69521,256,69777,48000000,194000000,59113,917000000,4908000,40000000,127,4430000,35.09
2020,2,San Luis,113804,148,113952,105000000,0,11439,3585000,1934000,60889000,8,35992000,78.41
2020,2,Santa Cruz,38672,197,38869,66000000,0,26938,4166000,6541000,546000000,119,493000000,35.79
2020,2,Santa Fe,777795,137,777932,568000000,2061000,213054,198772000,96575000,57236000,189473,20193000,70.0
2020,2,Santiago Del Estero,105446,1,105447,133000000,1779000,32557,57709000,5178000,247000000,3328,4516000,43.47
2020,2,Tierra Del Fuego,38900,289,39189,11000000,0,22325,5186000,3034000,391000000,796,7446000,76.37
2020,2,Tucumán,217134,22,217156,52000000,97000000,49028,54537000,34184000,2246000,74377,2635000,51.78
2020,1,Buenos Aires,3702985,5066,3708051,38215000,36802000,1122034,236421000,247977000,205780000,1802583,28935000,64.33
2020,1,Capital Federal,1352104,1390,1353494,264000000,312000000,169651,102254000,89665000,85899000,906009,0,105.98
2020,1,Catamarca,39634,1,39635,63000000,0,8838,7543000,9558000,408000000,10299,2151000,37.62
2020,1,Chaco,120274,3,120277,308000000,928000000,23291,19976000,29851000,10416000,28539,6917000,37.48
2020,1,Chubut,95938,800,96738,158000000,109000000,69586,12957000,7756000,1240000,614,4500000,51.27
2020,1,Córdoba,811044,55,811099,142000000,5128000,217229,120188000,95827000,65733000,296875,9802000,70.69
2020,1,Corrientes,113967,3,113970,72000000,527000000,33479,21382000,26679000,7351000,19467,4780000,38.73
2020,1,Entre Ríos,231833,13,231846,130000000,4081000,72280,47132000,41125000,11988000,39794,13762000,56.12
2020,1,Formosa,46434,0,46434,1127000,342000000,23761,6500000,6564000,964000000,6918,100000000,30.23
2020,1,Jujuy,91665,0,91665,55000000,182000000,33120,9979000,26693000,166000000,7349,16545000,46.67
